CDS;Category
CMHJGECF_00229;Metal resistance
CMHJGECF_00230;NA
CMHJGECF_00231;NA
CMHJGECF_00232;NA
CMHJGECF_00233;Metal resistance
CMHJGECF_00234;Oxidative stress
CMHJGECF_00235;NA
CMHJGECF_00236;NA
CMHJGECF_00237;NA
CMHJGECF_00238;NA
CMHJGECF_00239;NA
CMHJGECF_00240;NA
CMHJGECF_00241;NA
CMHJGECF_00242;NA
CMHJGECF_00243;NA
CMHJGECF_00244;NA
CMHJGECF_00245;NA
CMHJGECF_00246;NA
CMHJGECF_00247;NA
CMHJGECF_00248;NA
CMHJGECF_00249;NA
CMHJGECF_00250;NA
CMHJGECF_00251;NA
CMHJGECF_00252;NA
CMHJGECF_00253;NA
CMHJGECF_00254;NA
CMHJGECF_00255;NA
CMHJGECF_00256;NA
CMHJGECF_00257;NA
CMHJGECF_00258;NA
CMHJGECF_00259;NA
CMHJGECF_00260;NA
CMHJGECF_00261;NA
CMHJGECF_00262;NA
CMHJGECF_00263;NA
CMHJGECF_00264;NA
CMHJGECF_00265;NA
CMHJGECF_00266;NA
CMHJGECF_00267;NA
CMHJGECF_00268;NA
CMHJGECF_00269;NA
CMHJGECF_00270;NA
CMHJGECF_00271;NA
CMHJGECF_00272;NA
CMHJGECF_00273;NA
CMHJGECF_00274;NA
CMHJGECF_00275;NA
CMHJGECF_00276;NA
CMHJGECF_00277;NA
CMHJGECF_00278;NA
CMHJGECF_00279;NA
CMHJGECF_00280;NA
CMHJGECF_00281;NA
CMHJGECF_00282;NA
CMHJGECF_00283;NA
CMHJGECF_00284;NA
CMHJGECF_00285;NA
CMHJGECF_00286;NA
CMHJGECF_00287;NA
CMHJGECF_00288;NA
CMHJGECF_00289;NA
CMHJGECF_00290;NA
CMHJGECF_00291;NA
CMHJGECF_00292;NA
CMHJGECF_00293;NA
CMHJGECF_00294;NA
CMHJGECF_00295;NA
CMHJGECF_00296;NA
CMHJGECF_00297;NA
CMHJGECF_00298;NA
CMHJGECF_00299;NA
CMHJGECF_00300;NA
CMHJGECF_00301;NA
CMHJGECF_00302;Motility
CMHJGECF_00303;Motility
CMHJGECF_00304;NA
CMHJGECF_00305;NA
CMHJGECF_00306;Motility
CMHJGECF_00307;NA
CMHJGECF_00308;Motility
CMHJGECF_00309;NA
CMHJGECF_00310;NA
CMHJGECF_00311;Motility
CMHJGECF_00312;Motility
CMHJGECF_00313;NA
CMHJGECF_00314;Motility
CMHJGECF_00315;Motility
CMHJGECF_00316;Motility
CMHJGECF_00317;Motility
CMHJGECF_00318;NA
CMHJGECF_00319;NA
CMHJGECF_00320;NA
CMHJGECF_00321;NA
CMHJGECF_00322;NA
CMHJGECF_00323;NA
CMHJGECF_00324;NA
CMHJGECF_00325;NA
CMHJGECF_00326;NA
CMHJGECF_00327;NA
CMHJGECF_00328;NA
CMHJGECF_00329;NA
CMHJGECF_00330;NA
CMHJGECF_00331;NA
CMHJGECF_00332;NA
CMHJGECF_00333;NA
CMHJGECF_00334;NADH dehydrogenase
CMHJGECF_00335;NA
CMHJGECF_00336;NA
CMHJGECF_00337;NA
CMHJGECF_00338;NA
CMHJGECF_00339;NA
CMHJGECF_00340;NA
CMHJGECF_00341;Polysaccharide
CMHJGECF_00342;NA
CMHJGECF_00343;Polysaccharide
CMHJGECF_00344;NA
CMHJGECF_00345;Polysaccharide
CMHJGECF_00347;NA
CMHJGECF_00348;NA
CMHJGECF_00349;NA
CMHJGECF_00350;NA
CMHJGECF_00351;NA
CMHJGECF_00352;NA
CMHJGECF_00353;NA
CMHJGECF_00354;Nitrogen fixation
CMHJGECF_00355;NA
CMHJGECF_00356;NA
CMHJGECF_00357;NA
CMHJGECF_00358;NA
CMHJGECF_00359;NA
CMHJGECF_00360;NA
CMHJGECF_00361;NA
CMHJGECF_00362;NA
CMHJGECF_00363;NA
CMHJGECF_00364;NA
CMHJGECF_00365;NA
CMHJGECF_00366;NA
CMHJGECF_00367;NA
CMHJGECF_00368;NA
CMHJGECF_00369;NA
CMHJGECF_00370;NA
CMHJGECF_00371;NA
CMHJGECF_00372;NA
CMHJGECF_00373;NA
CMHJGECF_00374;NA
CMHJGECF_00375;NA
CMHJGECF_00376;NA
CMHJGECF_00377;NA
CMHJGECF_00378;NA
CMHJGECF_00379;NA
CMHJGECF_00380;NA
CMHJGECF_00381;NA
CMHJGECF_00382;NA
CMHJGECF_00383;NA
CMHJGECF_00384;NA
CMHJGECF_00385;Polysaccharide
CMHJGECF_00386;NA
CMHJGECF_00387;NA
CMHJGECF_00388;NA
CMHJGECF_00389;NA
CMHJGECF_00390;NA
CMHJGECF_00391;NA
CMHJGECF_00392;NA
CMHJGECF_00393;NA
CMHJGECF_00394;NA
CMHJGECF_00395;NA
CMHJGECF_00397;NA
CMHJGECF_00398;NA
CMHJGECF_00399;NA
CMHJGECF_00400;NA
CMHJGECF_00401;NA
CMHJGECF_00402;NA
CMHJGECF_00403;NA
