CDS;ERR2036629;ERR2036630;ERR2036631;ERR2036632;ERR2036633
CMHJGECF_00147;1062;943;5340;5383;912
CMHJGECF_00148;318;242;1335;1464;280
CMHJGECF_00149;127;117;991;1280;135
CMHJGECF_00150;311;216;2867;3002;270
CMHJGECF_00151;33;20;272;351;36
CMHJGECF_00152;293;241;1420;1337;282
CMHJGECF_00153;208;206;921;1592;222
CMHJGECF_00154;63;43;309;363;51
CMHJGECF_00155;428;329;1973;2720;418
CMHJGECF_00156;350;301;2009;2609;325
CMHJGECF_00157;1723;1120;5819;6009;1466
CMHJGECF_00158;1579;1701;19523;31414;1912
CMHJGECF_00159;230;138;670;1120;182
CMHJGECF_00160;495;410;4811;4100;541
CMHJGECF_00161;393;316;3168;4317;395
CMHJGECF_00162;261;199;2538;3023;247
CMHJGECF_00163;611;499;7501;7178;586
CMHJGECF_00164;72;55;594;800;72
CMHJGECF_00165;635;355;4481;4649;561
CMHJGECF_00166;354;329;2511;2343;277
CMHJGECF_00167;182;143;963;967;178
CMHJGECF_00168;55;30;360;245;42
CMHJGECF_00169;143;146;1676;2096;177
CMHJGECF_00170;1035;814;7312;7480;901
CMHJGECF_00171;512;291;2945;3017;375
CMHJGECF_00172;187;161;1934;1928;190
CMHJGECF_00173;1105;782;11269;11120;1120
CMHJGECF_00174;162;193;3218;4297;253
CMHJGECF_00175;1091;660;5654;6059;869
CMHJGECF_00177;87;56;513;464;74
CMHJGECF_00178;328;261;3671;4756;318
CMHJGECF_00179;119;78;2892;2586;98
CMHJGECF_00180;318;249;2060;2538;283
CMHJGECF_00181;66;49;333;390;59
CMHJGECF_00182;222;134;1825;1784;198
CMHJGECF_00183;98;69;727;744;86
CMHJGECF_00184;695;646;3947;4178;746
CMHJGECF_00185;134;89;821;711;127
CMHJGECF_00186;379;230;1772;1936;305
CMHJGECF_00187;620;394;3895;4431;525
CMHJGECF_00188;107;73;819;737;109
CMHJGECF_00189;226;151;1408;1722;178
CMHJGECF_00190;605;343;4899;4771;566
CMHJGECF_00191;527;358;2855;3829;441
CMHJGECF_00192;694;405;4725;5125;546
CMHJGECF_00193;4269;1958;26279;19903;3447
CMHJGECF_00194;3708;1516;19280;17940;2814
CMHJGECF_00195;2985;1672;16319;19265;2373
CMHJGECF_00196;1085;815;8182;9899;1101
CMHJGECF_00197;889;539;3654;3389;680
CMHJGECF_00198;9189;3914;60839;55889;7572
CMHJGECF_00199;5015;2193;29824;30186;4048
CMHJGECF_00200;3440;1916;18466;23445;2622
CMHJGECF_00201;53;40;552;941;44
